class,confidence,lat,lon,mission_type,risk_level,source
smoke,0.5,49.32631,6.09301,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,48.45811,17.19147,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,45.25694,31.67207,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,45.37346,30.92812,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,45.35522,30.90273,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,48.60207,7.82138,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,45.95514,22.8671,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,45.04664,25.90942,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,47.17332,7.56269,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,47.07124,8.26511,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,44.12506,26.69143,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,45.52013,11.49616,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,45.23192,5.66494,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,43.79661,7.37335,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,43.44775,4.84122,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,43.44587,4.89663,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,43.44028,4.89067,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,43.43432,4.89576,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,43.42872,4.8898,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,43.42477,4.83395,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,43.42458,4.83951,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,43.38441,5.00745,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,42.56955,12.67802,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,39.08283,9.01853,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,37.87786,12.58745,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,36.86867,6.97776,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,36.86328,6.95191,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,36.76241,7.30584,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,36.7487,6.25353,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,36.74388,6.24929,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,36.42956,6.62426,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,36.63011,3.22945,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,36.51131,2.85883,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,36.33531,5.48049,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,36.08783,6.80177,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,35.77428,9.89098,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,35.88067,4.44338,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,35.88041,4.44811,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,35.82077,-0.27684,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,35.81364,-0.27664,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,35.81314,-0.24346,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,35.81339,-0.26019,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,35.80978,-0.26773,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,35.80944,-0.25132,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,35.80909,-0.23454,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,35.35097,5.76211,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,32.61654,22.72704,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,34.98326,5.7125,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,34.98299,5.7163,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,33.92254,12.67739,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,33.89178,12.60695,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,33.89241,12.60225,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,33.85929,12.0571,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,34.44124,5.8865,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,30.76003,27.4666,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,30.77003,27.10261,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,30.76442,27.10069,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,30.76321,27.10529,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,30.76809,27.10592,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,30.85578,26.6186,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,30.82305,26.46856,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,30.69318,26.97109,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,-22.64458,15.14977,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,32.20211,20.13467,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,30.36739,27.22889,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,30.52998,26.08145,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,30.30661,26.04227,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,32.62673,14.32843,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,32.62342,14.32774,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,32.33294,15.24194,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,32.33231,15.24597,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,32.32629,15.21961,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,33.12922,3.31472,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,33.12894,3.31959,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,33.12342,3.3143,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,32.95348,3.22659,SURVEY,MEDIUM,firms_viirs_noaa20
fire,0.5,32.94767,3.22593,SURVEY,MEDIUM,firms_viirs_noaa20
smoke,0.5,32.94796,3.22105,SURVEY,MEDIUM,firms_viirs_noaa20
